id,LocId,State Id,City,Name,ARPLatitude,ARPLongitude,Elevation,Sectional,UNICOM,CTAF,ICAOId
2348,KPB,AK,POINT BAKER,POINT BAKER,056-21-06.6900N,133-37-21.3100W,0,JUNEAU,,122.9,PFKP
2349,KTS,AK,BREVIG MISSION,BREVIG MISSION,065-19-52.8000N,166-27-56.6000W,38.1,NOME,,123,PFKT
2350,KYU,AK,KOYUKUK,KOYUKUK,064-52-32.9000N,157-43-49.6000W,148.9,FAIRBANKS,,122.9,PFKU
2351,KWT,AK,KWETHLUK,KWETHLUK,060-47-25.2000N,161-26-37.3000W,25.3,MC GRATH,,122.9,PFKW
2352,F02,AK,MERTARVIK,MERTARVIK QUARRY ROAD LANDING STRIP,060-49-06.1900N,164-31-08.4500W,70.2,BETHEL,,122.9,PFME
2353,RMP,AK,RAMPART,RAMPART,065-30-28.4400N,150-08-27.0000W,306.7,FAIRBANKS,,122.9,PFMP
2354,D76,AK,NOORVIK,ROBERT/BOB/CURTIS MEML,066-49-03.1000N,161-01-20.1000W,54.5,NOME,,122.7,PFNO
2355,2C7,AK,SHAKTOOLIK,SHAKTOOLIK,064-22-15.9000N,161-13-26.3000W,24.4,NOME,122.8,122.8,PFSH
2356,SVS,AK,STEVENS VILLAGE,STEVENS VILLAGE,066-01-01.8000N,149-03-15.7000W,328.3,FAIRBANKS,,122.9,PFSV
2357,TKL,AK,TAKU LODGE,TAKU LODGE,058-29-22.8600N,133-56-36.3200W,0,JUNEAU,123.05,123.05,PFTK
2358,6K8,AK,TOK,TOK JUNCTION,063-19-46.2500N,142-57-13.2600W,1642.8,ANCHORAGE,122.8,122.8,PFTO
2359,WSN,AK,SOUTH NAKNEK,SOUTH NAKNEK NR 2,058-42-07.5000N,157-00-09.3000W,162.3,KODIAK,,122.9,PFWS
2360,FYU,AK,FORT YUKON,FORT YUKON,066-34-20.7000N,145-14-46.8000W,447.2,FAIRBANKS,,122.5,PFYU
2361,Z13,AK,AKIACHAK,AKIACHAK,060-54-49.7100N,161-29-35.9900W,22.8,MC GRATH,,122.9,PFZK
2362,GRO,MP,ROTA ISLAND,BENJAMIN TAISACAN MANGLONA INTL,014-10-27.6600N,145-14-28.0300E,606.3,GNC 7,,123.6,PGRO
2363,GSN,MP,SAIPAN ISLAND,FRANCISCO C ADA/SAIPAN INTL,015-07-12.8900N,145-43-47.9500E,214,GNC 7,,,PGSN
